price_change, adress, living_area, district, final_price, land_area, date_sold
Fållnäsgatan 81; 70 + 70 m²; Villa, Enskede; 565 m² tomt; 15 nov 2019; +14,2%; 6 844 000 kr
Enskedevägen 33; 90 + 45 m²; Villa, Enskede; 453 m² tomt; 29 nov 2019; —; 9 600 000 kr
Herrhagsvägen 40; 5 rum, 88 + 49 m²; Villa, Svedmyra; 545 m² tomt; 14 dec 2019; +10,1%; 8 250 000 kr
Stockholmsvägen 71; 99 + 49 m²; Villa, Enskede; 444 m² tomt; 29 nov 2019; —; 7 850 000 kr
Margaretavägen 8; 4 rum, 101 + 45 m²; Villa, Gamla Enskede; 440 m² tomt; 8 dec 2019; +18,4%; 10 600 000 kr
Skärblackavägen 8; 139 + 90 m²; Villa, Enskede; 1 025 m² tomt; 19 nov 2019; —; 8 700 000 kr
Fållnäsgatan 43; 67 + 67 m²; Villa, Svedmyra; 649 m² tomt; 22 nov 2019; +10,2%; 7 160 000 kr
Sockenvägen 450; 5 rum, 88 + 41 m²; Villa, Enskede; 454 m² tomt; 4 dec 2019; —; 8 000 000 kr
Mörkövägen 56; 5 rum, 90 + 89 m²; Villa, Enskede; 591 m² tomt; 24 okt 2019; +27,4%; 7 325 000 kr
Herrhagsvägen 107; 64 + 64 m²; Villa, Tallkrogen; 488 m² tomt; 25 nov 2019; +16,2%; 6 500 000 kr
Margaretavägen 100; 7 rum, 153 + 67 m²; Villa, Gamla Enskede; 482 m² tomt; 1 dec 2019; +3,7%; 14 000 000 kr
Viborgska vägen 9; 145 + 87 m²; Villa, Enskede; 520 m² tomt; 1 nov 2019; +8,3%; 10 800 000 kr
Tanneforsvägen 33; 107 + 107 m²; Villa, Enskede; 722 m² tomt; 15 nov 2019; —; 8 880 000 kr
Rapphönsvägen 12; 67 + 62 m²; Villa, Tallkrogen; 505 m² tomt; 8 nov 2019; +14,3%; 6 800 000 kr
Lemmings väg 45; 64 + 64 m²; Villa, Enskede; 542 m² tomt; 11 nov 2019; —; 6 700 000 kr
Lemmings väg 45; 64 + 64 m²; Villa, Enskede; 542 m² tomt; 11 nov 2019; —; 6 700 000 kr
Ösmogatan 18; 4 rum, 101 + 43 m²; Villa, Svedmyra; 533 m² tomt; 27 sep 2019; +13,7%; 7 950 000 kr
Maratonvägen 89; 4 rum, 105 m²; Villa, Enskede; 459 m² tomt; 15 maj 2018; +8,1%; 8 100 000 kr
Ösmogatan 18; 82 + 35 m²; Villa, Enskede; 533 m² tomt; 24 okt 2019; —; 7 950 000 kr
Tystbergavägen 11; 114 + 113 m²; Villa, Stureby; 607 m² tomt; 13 sep 2019; +5,2%; 8 150 000 kr
Sockenvägen 461; 5 rum, 135 + 70 m²; Villa, Enskede; 560 m² tomt; 8 nov 2019; -11,3%; 6 650 000 kr
Tanneforsvägen 35; 102 + 61 m²; Villa, Enskede; 826 m² tomt; 5 apr 2019; —; 7 200 000 kr
Polovägen 30; 83 + 83 m²; Villa, Enskede; 457 m² tomt; 22 okt 2019; —; 6 450 000 kr
Långåkersvägen 55; 8 rum, 141 + 106 m²; Villa, Stureby; 786 m² tomt; 1 nov 2019; +7,0%; 9 300 000 kr
Herrhagsvägen 125; 65 + 62 m²; Villa, Farsta stadsdelsområde; 520 m² tomt; 18 okt 2019; +20,9%; 7 850 000 kr
Grycksbovägen 46; 7 rum, 168 + 47 m²; Villa, Enskede; 645 m² tomt; 5 sep 2018; +7,8%; 8 600 000 kr
Grycksbovägen 46; 7 rum, 168 + 47 m²; Villa, Enskede; 645 m² tomt; 18 sep 2018; -2,2%; 7 800 000 kr
Sockenvägen 403; 81 + 45 m²; Villa, Enskede; 453 m² tomt; 1 okt 2019; —; 8 035 000 kr
Svampvägen 185; 108 + 78 m²; Villa, Enskede; 453 m² tomt; 30 sep 2019; —; 8 750 000 kr
Fasanvägen 7; 65 + 65 m²; Villa, Enskede; 602 m² tomt; 16 sep 2019; —; 5 230 000 kr
Bandhagsvägen 37; 212 + 165 m²; Villa, Enskede; 1 257 m² tomt; 1 okt 2019; —; 12 200 000 kr
Katrineforsvägen 5; 165 + 67 m²; Villa, Enskede; 675 m² tomt; 2 sep 2019; —; 9 400 000 kr
Sorundagatan 14; 121 + 99 m²; Villa, Enskede; 676 m² tomt; 1 okt 2019; —; 8 770 000 kr
Kvarnsvedsvägen 5; 145 + 70 m²; Villa, Enskede; 625 m² tomt; 30 aug 2019; +9,1%; 8 125 000 kr
Herrhagsvägen 111; 81 + 79 m²; Villa, Tallkrogen; 485 m² tomt; 1 okt 2019; +20,1%; 7 800 000 kr
Herrhagsvägen 113; 66 + 82 m²; Villa, Tallkrogen; 484 m² tomt; 29 aug 2019; +9,7%; 8 000 000 kr
Hemskogsvägen 221; 123 + 63 m²; Villa, Stureby; 726 m² tomt; 29 aug 2019; +13,9%; 9 675 000 kr
Fållnäsgatan 23; 78 + 49 m²; Villa, Enskede; 502 m² tomt; 30 aug 2019; +1,9%; 6 600 000 kr
Dagövägen 25; 84 + 37 m²; Villa, Enskede; 542 m² tomt; 30 sep 2019; —; 12 100 000 kr
Katrineforsvägen 3; 6 rum, 124 + 68 m²; Villa, Enskede; 673 m² tomt; 9 okt 2019; —; 6 500 000 kr
Tanneforsvägen 33; 6 rum, 197 + 32 m²; Villa, Stureby; 722 m² tomt; 8 okt 2019; +1,5%; 8 880 000 kr
Söråkersvägen 11; 6 rum, 191 + 30 m²; Villa, Enskede; 946 m² tomt; 31 jan 2019; -2,7%; 8 750 000 kr
Stralsundsgatan 13; 6 rum, 140 m²; Villa, Enskede; 540 m² tomt; 12 feb 2019; +6,4%; 9 570 000 kr
Nykvarnsvägen 20; 9 rum, 236 + 143 m²; Villa, Enskede; 1 257 m² tomt; 8 maj 2019; +22,6%; 12 200 000 kr
